Linux 4.19.90-vhulk2204.1.0.h1160.eulerosv2r10.aarch64 (bms-9002) 	06/14/2026 	_aarch64_	(192 CPU)

09:37:10 PM   UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
09:38:56 PM     0   1960295    0.00    0.00    0.00    0.00    0.00   172  python3
09:38:58 PM     0   1960295    0.00    0.00    0.00    0.00    0.00   172  python3
09:39:00 PM     0   1960295    0.00    0.00    0.00    0.00    0.00   172  python3
09:39:02 PM     0   1960295    0.00    0.00    0.00    0.00    0.00   172  python3
09:39:04 PM     0   1960295    0.00    0.00    0.00    0.00    0.00   172  python3
09:39:06 PM     0   1960295    0.00    0.00    0.00    0.00    0.00   172  python3
09:39:08 PM     0   1960295    0.00    0.00    0.00    0.00    0.00   172  python3
09:39:10 PM     0   1960295    0.00    0.00    0.00    0.00    0.00   172  python3
09:39:12 PM     0   1960295    0.00    0.00    0.00    0.00    0.00   172  python3
09:39:14 PM     0   1960295    0.00    0.00    0.00    0.00    0.00   172  python3
09:39:16 PM     0   1960295    0.00    0.00    0.00    0.00    0.00   172  python3
09:39:18 PM     0   1960295    0.00    0.00    0.00    0.00    0.00   172  python3
09:39:20 PM     0   1960295    0.00    0.00    0.00    0.00    0.00   172  python3
09:39:22 PM     0   1960295    0.00    0.00    0.00    0.00    0.00   172  python3
09:39:24 PM     0   1960295    0.00    0.00    0.00    0.00    0.00   172  python3
09:39:26 PM     0   1960295    0.00    0.00    0.00    0.00    0.00   172  python3
09:39:28 PM     0   1960295    0.00    0.00    0.00    0.00    0.00   172  python3
09:39:30 PM     0   1960295    0.00    0.00    0.00    0.00    0.00   172  python3
09:39:32 PM     0   1960295    0.00    0.00    0.00    0.00    0.00   172  python3
09:39:34 PM     0   1960295    0.00    0.00    0.00    0.00    0.00   172  python3
09:39:36 PM     0   1960295    0.00    0.00    0.00    0.00    0.00   172  python3
09:39:38 PM     0   1960295    0.00    0.00    0.00    0.00    0.00   172  python3
09:39:40 PM     0   1960295    0.00    0.00    0.00    0.00    0.00   172  python3
09:39:42 PM     0   1960295    0.00    0.00    0.00    0.00    0.00   172  python3
09:39:44 PM     0   1960295    0.00    0.00    0.00    0.00    0.00   172  python3
09:39:46 PM     0   1960295    0.00    0.00    0.00    0.00    0.00   172  python3
09:39:48 PM     0   1960295    0.00    0.00    0.00    0.00    0.00   172  python3
09:39:50 PM     0   1960295    0.00    0.00    0.00    0.00    0.00   172  python3
09:39:52 PM     0   1960295    0.00    0.00    0.00    0.00    0.00   172  python3
09:39:54 PM     0   1960295    0.00    0.00    0.00    0.00    0.00   172  python3
09:39:56 PM     0   1960295    0.00    0.00    0.00    0.00    0.00   172  python3
09:39:58 PM     0   1960295    0.00    0.00    0.00    0.00    0.00   172  python3
09:40:00 PM     0   1960295    0.00    0.00    0.00    0.00    0.00   172  python3
09:40:02 PM     0   1960295    0.00    0.00    0.00    0.00    0.00   172  python3
09:40:04 PM     0   1960295    0.00    0.00    0.00    0.00    0.00   172  python3
09:40:06 PM     0   1960295    0.00    0.00    0.00    0.00    0.00   172  python3
09:40:08 PM     0   1960295    0.00    0.00    0.00    0.00    0.00   172  python3
09:40:10 PM     0   1960295    0.00    0.00    0.00    0.00    0.00   172  python3
09:40:12 PM     0   1960295    0.00    0.00    0.00    0.00    0.00   172  python3
09:40:14 PM     0   1960295    0.00    0.00    0.00    0.00    0.00   172  python3
09:40:16 PM     0   1960295    0.00    0.00    0.00    0.00    0.00   172  python3
09:40:18 PM     0   1960295    0.00    0.00    0.00    0.00    0.00   172  python3
09:40:20 PM     0   1960295    0.00    0.00    0.00    0.00    0.00   172  python3
09:40:22 PM     0   1960295    0.00    0.00    0.00    0.00    0.00   172  python3
09:40:24 PM     0   1960295    0.00    0.00    0.00    0.00    0.00   172  python3
09:40:26 PM     0   1960295    0.00    0.00    0.00    0.00    0.00   172  python3
09:40:28 PM     0   1960295    0.00    0.00    0.00    0.00    0.00   172  python3
09:40:30 PM     0   1960295    0.00    0.00    0.00    0.00    0.00   172  python3
09:40:32 PM     0   1960295    0.00    0.00    0.00    0.00    0.00   172  python3
09:40:34 PM     0   1960295    0.00    0.00    0.00    0.00    0.00   172  python3
09:40:36 PM     0   1960295    0.00    0.00    0.00    0.00    0.00   172  python3
09:40:38 PM     0   1960295    0.00    0.00    0.00    0.00    0.00   172  python3
09:40:40 PM     0   1960295    0.00    0.00    0.00    0.00    0.00   172  python3
09:40:42 PM     0   1960295    0.00    0.00    0.00    0.00    0.00   172  python3
09:40:44 PM     0   1960295    0.00    0.00    0.00    0.00    0.00   172  python3
09:40:46 PM     0   1960295    0.00    0.00    0.00    0.00    0.00   172  python3
09:40:48 PM     0   1960295    0.00    0.00    0.00    0.00    0.00   172  python3
09:40:50 PM     0   1960295    0.00    0.00    0.00    0.00    0.00   172  python3
09:40:52 PM     0   1960295    0.00    0.00    0.00    0.00    0.00   172  python3
09:40:54 PM     0   1960295    0.00    0.00    0.00    0.00    0.00   172  python3
09:40:56 PM     0   1960295    0.00    0.00    0.00    0.00    0.00   172  python3
09:40:58 PM     0   1960295    0.00    0.00    0.00    0.00    0.00   172  python3
09:41:00 PM     0   1960295    0.00    0.00    0.00    0.00    0.00   172  python3
09:41:02 PM     0   1960295    0.00    0.00    0.00    0.00    0.00   172  python3
09:41:04 PM     0   1960295    0.00    0.00    0.00    0.00    0.00   172  python3
09:41:06 PM     0   1960295    0.00    0.00    0.00    0.00    0.00   172  python3
09:41:08 PM     0   1960295    0.00    0.00    0.00    0.00    0.00   172  python3
09:41:10 PM     0   1960295    0.00    0.00    0.00    0.00    0.00   172  python3
09:41:12 PM     0   1960295    0.00    0.00    0.00    0.00    0.00   172  python3
09:41:14 PM     0   1960295    0.00    0.00    0.00    0.00    0.00   172  python3
09:41:16 PM     0   1960295    0.00    0.00    0.00    0.00    0.00   172  python3
09:41:18 PM     0   1960295    0.00    0.00    0.00    0.00    0.00   172  python3
09:41:20 PM     0   1960295    0.00    0.00    0.00    0.00    0.00   172  python3
09:41:22 PM     0   1960295    0.00    0.00    0.00    0.00    0.00   172  python3
09:41:24 PM     0   1960295    0.00    0.00    0.00    0.00    0.00   172  python3
09:41:26 PM     0   1960295    0.00    0.00    0.00    0.00    0.00   172  python3
09:41:28 PM     0   1960295    0.00    0.00    0.00    0.00    0.00   172  python3
09:41:30 PM     0   1960295    0.00    0.00    0.00    0.00    0.00   172  python3
09:41:32 PM     0   1960295    0.00    0.00    0.00    0.00    0.00   172  python3
09:41:34 PM     0   1960295    0.00    0.00    0.00    0.00    0.00   172  python3
09:41:36 PM     0   1960295    0.00    0.00    0.00    0.00    0.00   172  python3
09:41:38 PM     0   1960295    0.00    0.00    0.00    0.00    0.00   172  python3
09:41:40 PM     0   1960295    0.00    0.00    0.00    0.00    0.00   172  python3
09:41:42 PM     0   1960295    0.00    0.00    0.00    0.00    0.00   172  python3
09:41:44 PM     0   1960295    0.00    0.00    0.00    0.00    0.00   172  python3
09:41:46 PM     0   1960295    0.00    0.00    0.00    0.00    0.00   172  python3
09:41:48 PM     0   1960295    0.00    0.00    0.00    0.00    0.00   172  python3
09:41:50 PM     0   1960295    0.00    0.00    0.00    0.00    0.00   172  python3
09:41:52 PM     0   1960295    0.00    0.00    0.00    0.00    0.00   172  python3
09:41:54 PM     0   1960295    0.00    0.00    0.00    0.00    0.00   172  python3
09:41:56 PM     0   1960295    0.00    0.00    0.00    0.00    0.00   172  python3
09:41:58 PM     0   1960295    0.00    0.00    0.00    0.00    0.00   172  python3
09:42:00 PM     0   1960295    0.00    0.00    0.00    0.00    0.00   172  python3
09:42:02 PM     0   1960295    0.00    0.00    0.00    0.00    0.00   172  python3
09:42:04 PM     0   1960295    0.00    0.00    0.00    0.00    0.00   172  python3
09:42:06 PM     0   1960295    0.00    0.00    0.00    0.00    0.00   172  python3
09:42:08 PM     0   1960295    0.00    0.00    0.00    0.00    0.00   172  python3
09:42:10 PM     0   1960295    0.00    0.00    0.00    0.00    0.00   172  python3
Average:        0   1960295    0.27    0.11    0.00    0.00    0.39     -  python3
