Linux 4.19.90-vhulk2204.1.0.h1160.eulerosv2r10.aarch64 (bms-9002) 	06/14/2026 	_aarch64_	(192 CPU)

09:52:39 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
09:56:37 PM  all    0.21    0.00    0.49    0.00    0.16    0.10    0.00    0.00    0.00   99.04
09:56:39 PM  all    0.22    0.00    0.57    0.00    0.15    0.10    0.00    0.00    0.00   98.95
09:56:41 PM  all    0.14    0.00    0.24    0.00    0.17    0.07    0.00    0.00    0.00   99.38
09:56:43 PM  all    0.24    0.00    0.51    0.00    0.14    0.11    0.00    0.00    0.00   99.00
09:56:45 PM  all    0.24    0.00    0.56    0.00    0.14    0.12    0.00    0.00    0.00   98.94
09:56:47 PM  all    0.26    0.00    0.57    0.00    0.15    0.07    0.00    0.00    0.00   98.95
09:56:49 PM  all    0.19    0.00    0.61    0.00    0.16    0.12    0.00    0.00    0.00   98.92
09:56:51 PM  all    0.12    0.00    0.21    0.00    0.15    0.06    0.00    0.00    0.00   99.47
09:56:53 PM  all    0.22    0.00    0.54    0.00    0.15    0.10    0.00    0.00    0.00   99.00
09:56:55 PM  all    0.23    0.00    0.53    0.00    0.15    0.11    0.00    0.00    0.00   98.98
09:56:57 PM  all    0.19    0.00    0.43    0.00    0.15    0.09    0.00    0.00    0.00   99.14
09:56:59 PM  all    0.08    0.00    0.28    0.00    0.16    0.12    0.00    0.00    0.00   99.36
09:57:01 PM  all    0.36    0.00    0.61    0.00    0.15    0.10    0.00    0.00    0.00   98.78
09:57:03 PM  all    0.25    0.00    0.51    0.00    0.16    0.08    0.00    0.00    0.00   99.01
09:57:05 PM  all    0.19    0.00    0.55    0.00    0.16    0.08    0.00    0.00    0.00   99.02
09:57:07 PM  all    0.17    0.00    0.45    0.00    0.15    0.10    0.00    0.00    0.00   99.14
09:57:09 PM  all    0.10    0.00    0.18    0.00    0.14    0.12    0.00    0.00    0.00   99.46
09:57:11 PM  all    0.24    0.00    0.56    0.00    0.13    0.11    0.00    0.00    0.00   98.95
09:57:13 PM  all    0.37    0.00    0.57    0.00    0.17    0.08    0.00    0.00    0.00   98.82
09:57:15 PM  all    0.25    0.00    0.48    0.00    0.13    0.07    0.00    0.00    0.00   99.07
09:57:17 PM  all    0.21    0.00    0.54    0.00    0.18    0.09    0.00    0.00    0.00   98.98
09:57:19 PM  all    0.07    0.00    0.25    0.00    0.13    0.11    0.00    0.00    0.00   99.43
09:57:21 PM  all    0.18    0.00    0.60    0.00    0.16    0.10    0.00    0.00    0.00   98.97
09:57:23 PM  all    0.28    0.00    0.50    0.00    0.14    0.11    0.00    0.00    0.00   98.96
09:57:25 PM  all    0.17    0.00    0.45    0.00    0.13    0.09    0.00    0.00    0.00   99.16
09:57:27 PM  all    0.20    0.00    0.46    0.00    0.17    0.10    0.00    0.00    0.00   99.07
09:57:29 PM  all    0.22    0.00    0.47    0.00    0.15    0.09    0.00    0.00    0.00   99.08
09:57:31 PM  all    0.21    0.00    0.47    0.00    0.14    0.08    0.00    0.00    0.00   99.10
09:57:33 PM  all    0.24    0.00    0.61    0.00    0.16    0.08    0.00    0.00    0.00   98.91
09:57:35 PM  all    0.19    0.00    0.50    0.00    0.16    0.14    0.00    0.00    0.00   99.01
09:57:37 PM  all    0.12    0.00    0.27    0.00    0.14    0.09    0.00    0.00    0.00   99.38
09:57:39 PM  all    0.23    0.00    0.46    0.00    0.15    0.11    0.00    0.00    0.00   99.06
Average:     all    0.30    0.00    0.52    0.00    0.15    0.10    0.00    0.00    0.00   98.93
